title,platform,fix_date,developer,genre,user_score,category
"Hatsune Miku: Project Diva F",PS3,27-08-2013,Sega,"Action, Miscellaneous, Rhythm, Music, Music",7.8,Good
"Hatsune Miku: Project Diva F 2nd",PS3,18-11-2014,Sega,"Action, Miscellaneous, Rhythm, Music",8,Good
"Hatsune Miku: Project Diva F 2nd",VITA,18-11-2014,Sega,"Action, Miscellaneous, Rhythm, Music",8,Good
"Hatsune Miku: Project Diva Future Tone",PS4,10-01-2017,Sega,"Action, Rhythm, Music",7.5,Good
"Hatsune Miku: Project Diva Future Tone - Colorful Tone",PS4,10-01-2017,Sega,"Action, Rhythm, Music",7.9,Good
"Hatsune Miku: Project Diva Future Tone - Future Sound",PS4,10-01-2017,Sega,"Action, Rhythm, Music",7.7,Good
"Hatsune Miku: Project Diva MegaMix+",PC,26-05-2022,"Sega AM2","Action, Rhythm, Music",6.5,Good
"Hatsune Miku: Project Diva X",PS4,30-08-2016,Sega,"Action, Rhythm, Music",7.4,Good
"Hatsune Miku: Project Diva X",VITA,30-08-2016,Sega,"Action, Rhythm, Music",8,Good
"Headhunter: Redemption",PS2,21-09-2004,Amuze,"Action Adventure, Sci-Fi",7.1,Good
"Headhunter: Redemption",XBOX,21-09-2004,Amuze,"Action Adventure, Sci-Fi",6.3,Good
"Hell Yeah! Wrath of the Dead Rabbit",PC,03-10-2012,"Arkedo Studio","Action, Platformer, Platformer, 2D, 2D",7.1,Good
"Hell Yeah! Wrath of the Dead Rabbit",PS3,25-09-2012,"Arkedo Studio","Action, Platformer, Platformer, 2D, 2D",7.9,Good
"Home Run King",GC,18-03-2002,"Wow Entertainment","Sports, Traditional, Baseball, Sim",7.5,Good
Humankind,PC,17-08-2021,"Amplitude Studios","Strategy, Turn-Based, General, 4X",6.7,Good
"Iron Man",PSP,02-05-2008,"Artificial Mind and Movement","Action, Action Adventure, General, General",6.3,Good
"Iron Man",WII,02-05-2008,"Artificial Mind and Movement","Action, Action Adventure, General, General",6.1,Good
"Iron Man 2",DS,04-05-2010,"Sega Studios San Francisco","Action, Action Adventure, General, General",6.4,Good
"Iron Phoenix",XBOX,25-03-2005,"InterServ International","Action, Fighting, 3D",7.2,Good
"Jambo! Safari: Animal Rescue",WII,17-11-2009,"Full Fat","Driving, Racing, Arcade, Arcade, Automobile",6.2,Good
"Jet Set Radio",PC,19-09-2012,Sega,"Action, Platformer, Platformer, 3D, 3D",7.6,Good
"Jet Set Radio",PS3,18-09-2012,Sega,"Action, Platformer, Platformer, 3D, 3D",7.3,Good
"Jet Set Radio",VITA,20-11-2012,Sega,"Action, Platformer, Platformer, 3D, 3D",6.2,Good
"Jet Set Radio",X360,19-09-2012,Blit,"Action, Platformer, Platformer, 3D, 3D",7.6,Good
Judgment,XONE,23-04-2021,Sega,"Action Adventure, Open-World",8,Good
"Legacy Online",PC,16-06-2003,"Oceanus Communications","Strategy, Tycoon",7.8,Good
"Let's TAP",WII,12-06-2009,Prope,"Miscellaneous, Party, Party, Party / Minigame",6.7,Good
"Like a Dragon: Ishin!",PC,21-02-2023,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.9,Good
"London 2012 - The Official Video Game of the Olympic Games",PC,26-06-2012,"Sega Studios Australia","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",6.2,Good
"London 2012 - The Official Video Game of the Olympic Games",PS3,26-06-2012,"Sega Studios Australia","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",6.4,Good
"London 2012 - The Official Video Game of the Olympic Games",X360,26-06-2012,"Sega Studios Australia","Olympic Sports, Sports, Olympic Sports, Individual, Athletics",6.6,Good
"Mario & Sonic at the London 2012 Olympic Games",3DS,14-02-2012,"Sega,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",6.4,Good
"Mario & Sonic at the London 2012 Olympic Games",WII,15-11-2011,"Racjin,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",7.9,Good
"Mario & Sonic at the Olympic Games",DS,22-01-2008,"Sega,  Nintendo,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",7,Good
"Mario & Sonic at the Olympic Games",WII,06-11-2007,"Sega,  Nintendo,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",7.6,Good
"Mario & Sonic at the Olympic Games Tokyo 2020",Switch,05-11-2019,Sega,"Sports, Individual, Athletics",6.9,Good
"Mario & Sonic at the Olympic Winter Games",DS,13-10-2009,"Sega,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",8,Good
"Mario & Sonic at the Olympic Winter Games",WII,13-10-2009,"Sega,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics",7.5,Good
"Medieval II: Total War - Definitive Edition",PC,15-11-2006,Sega,"Strategy, Real-Time, General",7.9,Good
"MLB Manager Online 2011",PC,09-03-2011,Sega,"Sports, Traditional, Baseball, Management",6.3,Good
"Monster Boy and the Cursed Kingdom",Switch,04-12-2018,"FDG Entertainment","Action, Action Adventure, General, Platformer, Metroidvania",8,Good
"Napoleon: Total War",PC,23-02-2010,"Creative Assembly","Strategy, Real-Time, Historic, General, Historic",7.9,Good
"Napoleon: Total War - The Peninsular Campaign",PC,25-07-2010,"Creative Assembly","Strategy, Real-Time, Historic, General, Historic",7.5,Good
"NBA 2K1",DC,01-11-2000,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.2,Good
"NBA 2K2",DC,24-10-2001,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.4,Good
"NBA 2K2",PS2,12-01-2002,"Visual Concepts","Sports, Traditional, Basketball, Sim",7.9,Good
